
1.614223	1.467443	1.340952	1.310727	1.263789	1.215325	1.163023	1.004901	1.004658	0.9508954	0.9395363	0.895022	0.8703066	0.8449464	0.843091	0.8257751	0.8018191	0.7764397	0.753354	0.7316023	0.690712	0.6738467	0.6234353	0.5596192	0.5306335	0.5186473	0.5178776	0.4778297	0.3963215	0.3382882	0.3109887	0.3038484	0.291713	0.2296112	0.2167374	0.06289753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2.082324	2.015889	1.741532	1.614223	1.467443	1.414796	1.340952	1.321813	1.310727	1.288431	1.263789	1.223888	1.215325	1.197136	1.187807	1.163023	1.151151	1.115836	1.113704	1.004901	1.004658	0.9737713	0.9508954	0.9433479	0.9395363	0.9078984	0.895022	0.8703066	0.8449464	0.843091	0.8309265	0.8257751	0.8018191	0.7764397	0.753832	0.753354	0.7316023	0.666555	0.6510223	0.6405659	0.5890942	0.5687403	0.5500305	0.5137142	0.3987496	0.09846003	0.09752136	0.04900688	0	0	0	0	0	0	0	0	0	0	0	0	
2.082324	2.015889	1.793103	1.741532	1.614223	1.521331	1.467443	1.439206	1.414796	1.342401	1.340952	1.321813	1.310727	1.288431	1.276524	1.267464	1.263789	1.223888	1.215325	1.197136	1.187807	1.163023	1.159253	1.151151	1.115836	1.113704	1.018569	1.004901	0.9995254	0.9993485	0.9909405	0.9747316	0.9397873	0.9372053	0.9324141	0.9252293	0.9211692	0.9202226	0.9142399	0.8415921	0.8021035	0.7990839	0.7645692	0.6962358	0.6854773	0.6785154	0.6656529	0.5204731	0.3085832	0.2795056	0.2265595	0.08873271	0	0	0	0	0	0	0	0	
2.082324	2.015889	1.949616	1.793103	1.744105	1.741532	1.694418	1.614223	1.521331	1.499795	1.467443	1.439206	1.414796	1.378332	1.350666	1.342401	1.340952	1.321813	1.310727	1.288431	1.287587	1.276524	1.267464	1.263789	1.223888	1.223698	1.215325	1.197136	1.184896	1.102133	1.00456	0.9752193	0.9340515	0.9295415	0.9219659	0.9145232	0.9072105	0.8976613	0.8673729	0.8562856	0.8017234	0.7635289	0.7315247	0.676781	0.6631649	0.6428583	0.5388338	0.4940135	0.4759094	0.3837813	0.3799943	0.2800196	0.1825818	0.139663	0	0	0	0	0	0	
2.164018	2.082324	2.037794	2.015889	1.949616	1.793103	1.744105	1.741532	1.694418	1.614223	1.521331	1.499795	1.467443	1.456527	1.439206	1.414796	1.378332	1.376145	1.350666	1.342401	1.340952	1.321813	1.310727	1.288431	1.259669	1.246177	1.223949	1.2022	1.190188	1.134807	1.090765	1.046137	1.043615	1.000944	0.9301559	0.8892979	0.8642694	0.8519386	0.7977711	0.7637378	0.7288852	0.6817467	0.6548285	0.6458891	0.6427886	0.534033	0.5034804	0.4931733	0.2153959	0.139931	0	0	0	0	0	0	0	0	0	0	
4.425823	2.164018	2.106478	2.082324	2.037794	2.015889	1.949616	1.86362	1.793103	1.744105	1.741532	1.694418	1.634246	1.628562	1.614223	1.583203	1.547503	1.521331	1.499795	1.467443	1.456527	1.439206	1.414796	1.378332	1.376145	1.350666	1.342401	1.34035	1.308149	1.214153	1.161741	1.118413	1.112856	1.052238	0.9838726	0.9795069	0.9063054	0.9023275	0.8915005	0.8825625	0.8266237	0.7715265	0.7614118	0.7084752	0.6750425	0.654408	0.6537309	0.506098	0.04352311	0	0	0	0	0	0	0	0	0	0	0	
4.425823	2.70335	2.650803	2.596256	2.533676	2.345857	2.319734	2.164018	2.106478	2.082324	2.037794	2.015889	1.949616	1.923229	1.86362	1.793103	1.744105	1.741532	1.694418	1.636049	1.634246	1.628562	1.625767	1.614223	1.583203	1.547503	1.521331	1.499795	1.489079	1.467443	1.417198	1.398047	1.381664	1.144522	1.076077	1.05532	1.00382	0.9397317	0.9299278	0.923717	0.9140254	0.8855317	0.8747765	0.8422453	0.8331921	0.7871497	0.7790094	0.7701869	0.763819	0.7372254	0.7240834	0.6616157	0.6587212	0.5747454	0.5167202	0.3734609	0.3204941	0	0	0	
5.844142	4.425823	3.539024	2.793753	2.745816	2.70335	2.650803	2.596256	2.533676	2.345857	2.319734	2.242643	2.164018	2.106478	2.082324	2.037794	2.019208	2.015889	1.960491	1.949616	1.923229	1.891434	1.870542	1.86362	1.793103	1.767524	1.744105	1.741532	1.702923	1.694418	1.638171	1.636049	1.604848	1.581491	1.43224	1.424065	1.363249	1.340042	1.276099	1.171006	1.14765	1.14329	1.116346	1.089224	1.053319	0.9635244	0.9012612	0.9005859	0.8732253	0.8463602	0.8191689	0.7944524	0.7832372	0.578689	0.5466241	0.1559045	0.1454715	0.1082628	0	0	
5.844142	4.425823	4.033985	3.539024	3.091187	2.887068	2.793753	2.774641	2.745816	2.70335	2.67556	2.650803	2.632968	2.596256	2.535098	2.533676	2.345857	2.319734	2.242643	2.164018	2.106478	2.082324	2.037794	2.019208	2.015889	1.960491	1.949616	1.813085	1.700189	1.666128	1.601234	1.597491	1.58786	1.551277	1.53408	1.478966	1.468744	1.38987	1.338702	1.259154	1.224531	1.210683	1.147272	0.9923403	0.9374049	0.9233675	0.8673301	0.866147	0.8592319	0.8113793	0.8064395	0.8035977	0.7944524	0.694847	0.6704448	0.6067835	0.5379832	0.3709407	0.3360211	0	
6.044224	5.844142	4.425823	4.033985	3.539024	3.518477	3.501927	3.383409	3.091187	2.887068	2.793753	2.774641	2.745816	2.70335	2.67556	2.650803	2.632968	2.596256	2.535098	2.533676	2.434618	2.406385	2.348544	2.345857	2.319734	2.242643	2.164018	2.04941	1.975257	1.746694	1.606311	1.565738	1.53508	1.443799	1.382682	1.245689	1.194055	1.137557	1.130469	1.129435	1.115039	1.091159	1.079583	1.009361	0.9333246	0.9170328	0.8837468	0.872063	0.790301	0.7834293	0.7779309	0.6525933	0.6392984	0.6376273	0.3797796	0.09313691	0	0	0	0	
